id,house_area,house_age,bedroom,garden_area,sale_price,parking,furnished
58,11645,3,3,2091,211,Yes,Yes
59,13682,2,3,4001,192,Yes,Yes
60,7200,11,2,1900,182,Yes,Yes
61,13072,3,3,2508,261,Yes,Yes
62,7200,5,3,1018,144,Yes,Yes
63,6442,2,2,1779,189,Yes,Yes
64,10300,16,3,1791,178,Yes,Yes
65,9375,4,3,2764,165,Yes,Yes
66,9591,2,4,1903,168,Yes,Yes
67,19900,6,3,4121,271,Yes,Yes
68,10665,3,3,1857,163,Yes,Yes
69,4608,16,2,838,127,Yes,Yes
70,15593,15,3,4899,227,Yes,Yes
71,13651,10,3,4202,246,Yes,Yes
72,7599,2,2,3266,160,Yes,Yes
73,10141,4,3,1838,221,Yes,Yes
74,10200,3,3,2755,161,Yes,Yes
75,5790,16,3,672,175,Yes,Yes
76,1596,10,2,597,99,Yes,Yes
77,8475,15,2,2317,207,Yes,Yes
78,8635,3,2,2345,192,Yes,Yes
79,10778,12,4,1471,177,No,Yes
80,10440,8,2,3084,220,Yes,Yes
81,13000,12,4,1623,266,Yes,Yes
82,4500,4,2,1044,113,Yes,Yes
83,10206,2,3,2008,204,Yes,Yes
84,8892,14,3,2285,204,Yes,Yes
85,8530,5,3,2239,167,Yes,Yes
86,16059,6,4,2228,292,Yes,Yes
87,11911,2,3,2246,213,Yes,Yes
88,3951,1,2,1584,117,Yes,Yes
89,8470,8,2,3573,193,No,Yes
90,8070,5,3,1402,140,No,Yes
91,7200,16,2,3182,130,Yes,Yes
92,8500,13,2,3888,171,Yes,Yes
93,13360,2,2,3924,218,Yes,Yes
94,7200,4,4,611,135,Yes,Yes
95,9337,4,3,2568,213,Yes,Yes
96,9765,5,3,1778,157,Yes,Yes
97,10264,4,3,1966,239,Yes,Yes
98,10921,12,3,1948,235,Yes,Yes
99,10625,16,2,4759,195,Yes,Yes
100,9320,14,3,2631,230,No,Yes
101,10603,3,3,3220,220,Yes,Yes
102,9206,7,3,2809,216,Yes,Yes
103,7018,9,4,1099,184,Yes,Yes
104,10402,1,3,1685,217,Yes,Yes
105,7758,16,4,1653,165,Yes,Yes
106,9375,3,3,1704,176,Yes,Yes
107,10800,5,2,2962,200,Yes,Yes
108,6000,16,2,2328,125,Yes,Yes
109,8500,2,3,1507,174,No,Yes
110,11751,9,3,3492,246,Yes,Yes
111,9525,11,4,1882,209,Yes,Yes
112,7750,4,3,2325,172,Yes,Yes
113,9965,2,4,2044,233,Yes,Yes
114,21000,15,3,4263,316,Yes,Yes
115,7259,3,3,994,187,Yes,Yes
116,3230,4,2,1258,92,Yes,Yes
117,11616,13,3,2233,226,Yes,Yes
118,8536,2,2,2387,153,Yes,Yes
119,12376,6,5,1809,260,Yes,Yes
120,8461,2,3,2295,196,Yes,Yes
121,21453,11,1,14045,331,Yes,Yes
122,6060,16,3,1017,133,Yes,Yes
123,9464,14,3,2582,178,Yes,Yes
124,7892,5,2,3305,213,Yes,Yes
125,17043,4,3,5273,281,Yes,Yes
126,6780,8,2,2782,156,No,Yes
127,4928,10,2,1035,128,Yes,Yes
128,4388,16,3,1080,108,No,Yes
129,7590,12,3,2167,177,Yes,Yes
130,8973,6,3,1353,187,Yes,Yes
131,14200,12,4,3172,276,Yes,Yes
132,12224,4,3,3667,188,Yes,Yes
133,7388,3,3,1824,208,Yes,Yes
134,6853,3,2,2772,162,Yes,Yes
135,10335,5,3,1696,156,Yes,Yes
136,10400,11,3,2978,232,Yes,Yes
137,10355,12,3,3009,184,Yes,Yes
138,11070,6,5,1054,247,Yes,Yes
139,9066,4,3,1469,180,Yes,Yes
140,15426,4,3,4704,253,Yes,Yes
141,10500,11,3,2905,160,No,Yes
142,11645,2,3,2244,227,Yes,Yes
143,8520,16,4,902,152,Yes,Yes
144,10335,4,3,1659,236,Yes,Yes
145,9100,13,6,1078,150,Yes,Yes
146,2522,2,3,0,141,Yes,Yes
147,6120,5,2,2443,162,Yes,Yes
148,9505,3,3,1734,233,Yes,Yes
149,7500,2,3,942,204,No,Yes
150,6240,16,3,979,168,Yes,Yes
151,10356,10,3,1777,173,Yes,Yes
152,13891,2,2,4222,224,Yes,Yes
153,14803,11,4,1755,263,Yes,Yes
154,13500,10,1,13185,227,Yes,Yes
155,11340,16,4,1405,232,Yes,Yes
156,9600,16,2,2621,162,No,Yes
157,7200,16,2,3223,199,Yes,Yes
158,12003,1,4,1684,223,Yes,Yes
159,12552,2,3,2182,244,Yes,Yes
160,19378,2,4,2783,208,Yes,Yes
161,11120,8,3,3345,202,Yes,Yes
162,13688,3,3,3851,239,Yes,Yes
163,12182,2,3,2128,172,Yes,Yes
164,5500,15,1,5111,132,No,Yes
165,5400,3,3,615,119,Yes,Yes
166,10106,4,4,1889,240,No,Yes
167,10708,5,2,4632,222,Yes,Yes
168,10562,2,3,3135,245,Yes,Yes
169,8244,3,3,2436,169,Yes,Yes
170,16669,8,2,7621,264,Yes,Yes
171,12358,16,2,3558,254,Yes,Yes
172,31770,14,3,6412,272,Yes,Yes
173,5306,7,2,2117,124,Yes,Yes
174,10197,13,3,1799,174,Yes,Yes
175,12416,7,3,2348,262,Yes,Yes
176,12615,3,4,1581,246,Yes,Yes
177,10029,6,4,1815,212,Yes,Yes
178,13650,14,4,1570,203,Yes,Yes
179,17423,1,1,16992,258,Yes,Yes
180,8520,2,2,2490,204,Yes,Yes
181,2117,4,3,0,126,Yes,Yes
182,7588,16,4,1476,191,Yes,Yes
183,9060,2,3,1410,180,Yes,Yes
184,11426,3,3,1908,223,Yes,Yes
185,7438,6,3,1001,173,Yes,Yes
186,22950,5,4,5323,298,Yes,Yes
187,9947,6,3,2867,240,Yes,Yes
188,10410,7,3,3058,232,Yes,Yes
189,7018,9,2,3075,151,Yes,Yes
190,4923,3,0,0,132,Yes,Yes
191,10570,5,3,1677,175,Yes,Yes
192,7472,3,4,736,165,Yes,Yes
193,9017,4,3,1507,212,Yes,Yes
194,2522,3,3,425,94,Yes,Yes
195,7180,11,3,1827,178,Yes,Yes
196,2280,10,3,252,112,Yes,Yes
197,9416,2,3,2582,224,Yes,Yes
198,25419,6,4,5945,316,Yes,Yes
199,5520,16,5,327,124,No,Yes
200,9591,2,3,2680,222,Yes,Yes
201,8546,3,2,2499,200,Yes,Yes
202,10125,9,3,1877,236,Yes,Yes
203,7000,16,2,1603,205,Yes,Yes
204,4438,3,1,4106,173,Yes,Yes
205,3500,16,2,1217,125,Yes,Yes
206,11851,6,3,2182,165,Yes,Yes
207,13673,13,3,2325,232,Yes,Yes
208,12493,14,3,2054,220,Yes,Yes
209,14364,6,3,2458,278,Yes,Yes
210,8250,13,3,2187,165,Yes,Yes
211,5604,16,2,2388,190,No,Yes
212,10420,1,3,3017,161,Yes,Yes
213,8640,1,3,2228,163,Yes,Yes
214,13568,5,3,2415,192,Yes,Yes
215,10900,9,3,2165,211,Yes,Yes
216,10011,5,2,2700,238,Yes,Yes
217,8450,3,3,2422,152,Yes,Yes
218,9906,16,3,2917,213,Yes,Yes
219,15660,2,3,4930,191,Yes,Yes
220,3010,2,2,520,149,Yes,Yes
221,8990,2,2,2434,207,Yes,Yes
222,8068,3,4,884,165,Yes,Yes
223,11475,10,3,2114,229,Yes,Yes
224,10500,11,2,4729,176,Yes,Yes
225,13472,3,3,2637,220,Yes,Yes
226,1680,11,3,172,99,Yes,Yes
227,9950,5,4,1111,240,Yes,Yes
228,1869,11,2,387,101,Yes,Yes
229,8521,12,3,1508,196,Yes,Yes
230,3182,2,2,722,146,Yes,Yes
231,8760,14,3,2475,199,Yes,Yes
232,15138,5,4,3215,203,Yes,Yes
233,1680,11,2,130,101,Yes,Yes
234,10650,10,3,1818,210,Yes,Yes
235,7851,3,4,1023,143,Yes,Yes
236,1680,11,2,157,78,Yes,Yes
237,8773,3,3,1640,206,Yes,Yes
238,9453,3,3,1644,180,Yes,Yes
239,12030,2,3,3469,259,Yes,Yes
240,8741,16,3,2517,155,Yes,Yes
241,9000,2,3,2522,175,Yes,Yes
242,3880,4,2,673,149,No,Yes
243,5000,16,3,853,159,Yes,Yes
244,10762,9,3,2911,203,Yes,Yes
245,8880,3,3,1326,160,Yes,Yes
246,10400,7,3,1733,177,Yes,Yes
247,9142,16,4,1872,155,Yes,Yes
248,11310,15,2,5269,224,Yes,Yes
249,11317,3,3,3488,170,Yes,Yes
250,159000,2,4,39405,715,Yes,Yes
251,5350,12,3,690,132,No,Yes
252,4750,2,2,1161,154,Yes,Yes
253,8366,3,3,1263,217,Yes,Yes
254,9350,6,3,2720,193,Yes,Yes
255,8400,14,3,2368,150,Yes,Yes
256,8738,4,4,1758,151,Yes,Yes
257,8791,3,3,1329,226,Yes,Yes
258,8814,2,3,2325,213,Yes,Yes
259,12435,3,3,3407,173,Yes,Yes
260,12702,15,2,5779,195,Yes,Yes
261,19296,13,3,5784,237,Yes,Yes
262,9588,2,3,2691,196,Yes,Yes
263,8471,5,3,2584,169,Yes,Yes
264,5500,3,3,1094,121,Yes,Yes
265,5232,3,2,1166,125,Yes,Yes
266,12090,8,3,3399,166,Yes,Yes
267,11207,4,3,3228,209,Yes,Yes
268,8400,4,4,1431,160,Yes,Yes
269,6900,15,2,1942,161,Yes,Yes
270,7917,10,3,2126,174,Yes,Yes
271,10728,2,3,3121,166,Yes,Yes
272,39104,2,2,12662,412,Yes,Yes
273,11764,2,4,2370,177,Yes,Yes
274,9600,7,3,2919,171,Yes,Yes
275,8314,8,2,3406,198,Yes,Yes
276,7264,2,3,1985,169,Yes,Yes
277,9196,3,3,1318,207,Yes,Yes
278,19138,16,2,5899,273,Yes,Yes
279,14450,2,3,2759,180,Yes,Yes
280,10005,9,4,1170,193,Yes,Yes
281,11287,6,3,3221,252,Yes,Yes
282,7200,2,2,3047,155,Yes,Yes
283,5063,2,2,1816,156,Yes,Yes
284,9612,1,3,2779,151,Yes,Yes
285,8012,6,2,2430,175,Yes,Yes
286,4251,2,2,1518,132,Yes,Yes
287,9786,8,3,1748,223,Yes,Yes
288,8125,11,3,1113,189,No,Yes
289,9819,12,3,1595,161,Yes,Yes
290,8730,3,3,1583,205,Yes,Yes
291,15611,2,3,4787,201,Yes,Yes
292,5687,4,6,185,183,No,Yes
293,11409,2,3,2074,181,Yes,Yes
294,16659,5,3,4906,269,Yes,Yes
295,9600,15,3,2501,158,Yes,Yes
296,7937,8,3,2236,193,Yes,Yes
297,13710,16,4,3030,256,Yes,Yes
298,7399,4,3,2006,169,Yes,Yes
299,11700,12,3,2049,236,Yes,Yes
300,14000,3,3,4316,198,Yes,Yes
301,15750,15,2,7522,195,Yes,Yes
302,16226,4,4,2371,244,Yes,Yes
303,13704,3,3,2471,223,Yes,Yes
304,9800,11,3,1569,199,Yes,Yes
305,18386,3,3,3386,302,Yes,Yes
306,10386,2,3,1626,212,Yes,Yes
307,13474,6,4,2970,252,Yes,Yes
308,7920,16,3,2098,186,No,Yes
309,12342,16,1,7645,172,Yes,Yes
310,12378,3,3,3841,236,Yes,Yes
311,7685,5,3,1973,209,Yes,Yes
312,8000,3,2,2223,200,Yes,Yes
313,7800,16,3,1932,135,Yes,Yes
314,215245,12,3,71243,946,Yes,Yes
315,9600,6,3,1577,212,Yes,Yes
316,7795,2,3,2134,143,Yes,Yes
317,13005,9,4,1493,238,Yes,Yes
318,9000,2,3,2539,191,Yes,Yes
319,9900,5,4,1024,227,Yes,Yes
320,14115,9,3,2778,239,Yes,Yes
321,16259,2,4,2349,216,Yes,Yes
322,12099,3,4,2540,212,Yes,Yes
323,10380,7,4,1951,238,Yes,Yes
324,5820,2,3,1534,163,Yes,Yes
325,11275,2,5,958,207,Yes,Yes
326,5000,16,2,1875,125,Yes,Yes
327,10846,5,1,10278,164,Yes,Yes
328,11600,14,3,3483,256,Yes,Yes
329,11888,5,5,883,217,Yes,Yes
330,6402,16,3,826,166,Yes,Yes
331,10624,13,6,1177,171,Yes,Yes
332,8176,6,3,2084,161,Yes,Yes
333,10655,3,3,3085,172,Yes,Yes
334,8198,3,2,2481,176,Yes,Yes
335,9042,4,3,2404,152,Yes,Yes
336,164660,12,3,54533,591,Yes,No
337,14157,2,3,4170,247,Yes,Yes
338,9135,3,3,1493,218,Yes,Yes
339,14145,4,3,4397,189,Yes,Yes
340,12400,4,3,3424,188,Yes,Yes
341,14191,3,4,3106,254,Yes,Yes
342,8400,16,2,2193,174,Yes,Yes
343,8544,16,2,3613,196,Yes,Yes
344,8849,2,2,2397,180,Yes,Yes
345,2592,10,3,468,140,Yes,Yes
346,6435,16,3,1729,184,Yes,Yes
347,12772,4,2,5662,220,Yes,Yes
348,17600,14,3,5222,291,Yes,Yes
349,2448,3,2,598,116,Yes,Yes
350,20431,2,4,3164,324,Yes,Yes
351,7820,2,2,1979,136,Yes,Yes
352,5271,7,2,1961,170,Yes,Yes
353,9084,16,3,2514,187,Yes,Yes
354,8520,3,2,2195,207,Yes,Yes
355,8400,4,2,3443,154,Yes,Yes
356,11249,5,3,2078,233,Yes,Yes
357,9248,6,3,1562,159,Yes,Yes
358,4224,10,3,988,125,Yes,Yes
359,6930,14,3,1754,138,Yes,Yes
360,12011,4,3,1924,210,Yes,Yes
361,7540,9,2,2051,200,Yes,Yes
362,9144,8,3,1476,163,Yes,Yes
363,7301,3,4,1274,155,Yes,Yes
364,1680,2,2,0,97,Yes,Yes
365,18800,10,3,5750,264,Yes,Yes
366,10690,4,3,3185,215,Yes,Yes
367,9500,13,3,2505,203,Yes,Yes
368,9150,13,3,2541,216,Yes,Yes
369,7800,15,2,3468,159,Yes,Yes
370,9830,2,3,1808,198,Yes,Yes
371,8121,4,3,2120,215,Yes,Yes
372,17120,14,4,2570,273,Yes,Yes
373,7175,8,2,1990,180,Yes,Yes
374,10634,15,3,1582,235,Yes,Yes
375,8200,3,4,908,214,Yes,Yes
376,10020,16,1,6407,180,No,Yes
377,8846,5,2,2411,165,Yes,Yes
378,11143,2,4,1150,228,Yes,Yes
379,11394,1,1,10703,225,Yes,Yes
380,8123,4,3,1419,192,Yes,Yes
381,5000,16,3,951,133,Yes,Yes
382,7200,2,2,1666,185,Yes,Yes
383,9245,2,3,2488,224,Yes,Yes
384,9000,16,2,3822,226,Yes,Yes
385,53107,6,3,17212,412,Yes,Yes
386,3182,2,2,576,109,Yes,Yes
387,8410,5,5,657,193,No,Yes
388,7200,10,3,1890,160,Yes,Yes
389,9382,4,3,2640,219,Yes,Yes
390,12474,2,3,3521,249,Yes,Yes
391,8405,16,4,950,145,Yes,Yes
392,12209,3,3,3403,179,Yes,Yes
393,8339,14,3,2399,142,Yes,Yes
394,7446,16,2,1920,162,No,Yes
395,10134,16,2,2906,165,Yes,Yes
396,9571,15,3,2742,174,Yes,Yes
397,7200,11,2,2961,197,Yes,Yes
398,7590,13,4,719,149,Yes,Yes
399,8967,16,2,2431,217,Yes,Yes
400,8125,2,2,3691,163,Yes,Yes
401,14963,5,1,9665,264,Yes,Yes
402,8767,2,3,1515,212,Yes,Yes
403,10200,4,2,2729,212,Yes,Yes
404,12090,4,4,1747,240,Yes,Yes
405,10364,5,3,3097,217,Yes,Yes
406,9991,5,3,1851,200,Yes,Yes
407,10480,16,3,1940,158,Yes,Yes
408,15576,10,4,3660,253,Yes,Yes
409,14154,2,3,4462,242,Yes,Yes
410,10800,2,3,1913,168,Yes,Yes
411,9571,14,3,1859,161,Yes,Yes
412,34650,15,3,10991,392,Yes,Yes
413,4403,1,2,1629,150,Yes,Yes
414,8960,16,2,2574,180,Yes,Yes
415,11228,5,3,2091,181,Yes,Yes
416,8899,2,3,1690,179,Yes,Yes
417,7844,9,3,2273,143,Yes,Yes
418,22420,16,4,3108,282,Yes,Yes
419,8160,16,3,2195,192,Yes,Yes
420,8450,12,3,1181,200,Yes,Yes
421,7060,4,2,2067,202,Yes,Yes
422,16635,4,3,4854,213,Yes,Yes
423,21750,15,2,6881,329,Yes,Yes
424,9200,4,4,2032,202,Yes,Yes
425,9000,15,2,3978,223,Yes,Yes
426,3378,6,3,529,137,Yes,Yes
427,12800,6,2,5797,184,Yes,Yes
428,8593,14,3,2238,202,Yes,Yes
429,6762,2,2,1767,168,Yes,Yes
430,11457,7,3,1805,223,Yes,Yes
431,1680,11,2,493,95,Yes,Yes
432,5586,4,4,369,145,No,Yes
433,1920,11,2,224,79,Yes,Yes
434,10839,4,3,3105,203,Yes,Yes
435,1890,11,1,914,95,No,Yes
436,10667,5,3,3008,158,Yes,Yes
437,4400,16,2,1806,115,Yes,Yes
438,6000,3,2,2582,157,Yes,Yes
439,4280,3,2,846,148,Yes,Yes
440,12354,4,3,2276,236,Yes,Yes
441,15431,2,2,4580,229,Yes,Yes
442,12108,15,4,1504,246,No,Yes
443,6240,6,3,931,166,Yes,Yes
444,3922,2,2,1304,126,Yes,Yes
445,8750,5,4,1104,205,Yes,Yes
446,9855,15,3,2803,226,Yes,Yes
447,16492,3,2,5018,245,Yes,Yes
448,11214,4,4,1501,233,Yes,Yes
449,8600,16,3,1627,209,Yes,Yes
450,6000,3,2,2374,140,Yes,Yes
451,5684,2,2,2572,142,Yes,Yes
452,70761,10,2,35043,489,Yes,Yes
453,9303,4,3,2368,189,Yes,Yes
454,9000,2,3,2641,166,Yes,Yes
455,9297,10,4,1875,220,Yes,Yes
456,9600,10,3,2627,229,Yes,Yes
457,4571,16,4,386,157,Yes,Yes
458,53227,5,2,17219,355,Yes,Yes
459,5100,5,3,1335,117,Yes,Yes
460,7015,16,3,1244,186,Yes,Yes
461,8004,1,3,2138,143,Yes,Yes
462,7200,2,3,1081,194,Yes,Yes
463,8281,12,3,1423,163,Yes,Yes
464,11988,5,3,2056,234,Yes,Yes
465,8430,9,3,1172,197,No,Yes
466,3072,3,2,407,114,Yes,Yes
467,10628,11,2,2883,219,Yes,Yes
468,9480,5,3,2757,184,Yes,Yes
469,11428,2,3,3350,242,Yes,Yes
470,9291,5,3,1485,173,Yes,Yes
471,6820,7,1,6428,179,Yes,Yes
472,11952,9,3,2248,229,Yes,Yes
473,3675,2,2,660,142,Yes,Yes
474,14977,2,2,6883,249,Yes,Yes
475,5330,4,2,2253,137,Yes,Yes
476,8480,13,2,3818,144,Yes,Yes
477,13125,4,3,2188,238,Yes,Yes
478,13693,2,3,2644,202,Yes,Yes
479,10637,2,3,3027,159,Yes,Yes
480,5925,4,2,1399,172,Yes,Yes
481,16033,2,3,5027,199,Yes,Yes
482,11846,3,2,5578,176,Yes,Yes
483,2500,2,4,0,112,Yes,Yes
484,4500,4,2,1024,140,Yes,Yes
485,7758,3,3,2059,184,Yes,Yes
486,9600,2,3,1558,153,Yes,Yes
487,10289,12,3,2676,233,Yes,Yes
488,12243,11,3,3523,231,Yes,Yes
489,10800,11,3,1956,194,Yes,Yes
490,1526,3,1,1016,82,Yes,Yes
491,2665,10,3,527,128,Yes,Yes
492,9490,16,3,2910,179,Yes,Yes
493,15578,2,3,3104,199,Yes,Yes
494,7931,14,3,2018,165,Yes,Yes
495,5784,5,2,2222,145,Yes,Yes
496,7879,16,2,3343,186,No,Yes
497,12692,5,4,1742,192,Yes,Yes
498,9120,16,4,1692,181,Yes,Yes
499,7800,3,3,1175,165,Yes,Yes
500,7535,7,2,2121,134,Yes,Yes
501,1890,10,3,0,88,Yes,Yes
502,9803,2,3,1506,170,Yes,Yes
503,9170,12,2,4133,198,Yes,Yes
504,15602,4,1,9827,208,Yes,Yes
505,2308,10,3,379,92,Yes,Yes
506,7596,16,4,1287,143,Yes,Yes
507,9554,5,3,1507,212,Yes,Yes
508,7862,1,2,3471,210,Yes,Yes
509,9600,2,3,1404,192,Yes,Yes
510,9600,14,3,2812,223,Yes,Yes
511,14559,4,2,4341,267,Yes,Yes
512,6792,2,2,1831,181,Yes,Yes
513,9100,14,3,2813,227,Yes,Yes
514,9187,8,3,1785,185,Yes,Yes
515,10594,16,2,4834,163,Yes,Yes
516,12220,1,3,3717,167,Yes,Yes
517,10448,11,3,1768,189,Yes,Yes
518,10208,4,3,2866,213,Yes,Yes
519,9531,4,3,1633,222,Yes,Yes
520,10918,3,3,3150,180,Yes,Yes
521,10800,4,3,1943,162,No,Yes
522,11988,14,3,1888,212,Yes,Yes
523,5000,16,3,673,133,Yes,Yes
524,40094,2,3,12672,368,Yes,Yes
525,11787,4,3,2168,204,Yes,Yes
526,7500,2,3,1161,198,Yes,Yes
527,13300,4,2,6194,262,Yes,Yes
528,14948,2,3,2616,252,Yes,Yes
529,9098,3,2,2428,230,No,Yes
530,32668,10,4,7666,289,Yes,Yes
531,10200,6,3,1732,183,Yes,Yes
532,6155,4,3,960,142,Yes,Yes
533,7200,2,2,3146,197,Yes,Yes
534,5000,16,1,2683,155,No,Yes
535,9056,3,3,1369,151,Yes,Yes
536,7000,6,3,969,143,No,Yes
537,8924,4,3,2708,225,Yes,Yes
538,12735,11,3,2144,243,Yes,Yes
539,11553,12,3,3512,163,Yes,Yes
540,11423,3,3,3517,247,Yes,Yes
541,14601,2,2,4597,248,Yes,Yes
542,11000,4,4,1454,248,Yes,Yes
543,10140,4,3,1879,154,Yes,Yes
544,4058,4,1,2185,165,Yes,Yes
545,17104,2,3,5071,215,Yes,Yes
546,13837,7,4,1936,198,Yes,Yes
547,8737,16,3,2570,210,Yes,Yes
548,7244,11,2,1744,169,Yes,Yes
549,8235,5,2,2378,156,Yes,Yes
550,9375,3,4,1114,208,Yes,Yes
551,4043,9,2,1636,118,Yes,Yes
552,6000,14,3,609,148,Yes,Yes
553,11146,2,3,3282,206,Yes,Yes
554,8777,3,2,4001,159,Yes,Yes
555,10625,3,3,1707,225,Yes,Yes
556,6380,16,2,2694,164,Yes,Yes
557,14850,14,2,4376,243,Yes,Yes
558,11040,16,3,2952,167,Yes,Yes
559,21872,4,3,6797,272,Yes,Yes
560,3196,3,2,779,137,Yes,Yes
561,11341,5,3,3439,180,Yes,Yes
562,10010,10,2,4548,204,Yes,Yes
563,13907,11,3,2651,223,No,Yes
564,21780,16,4,3351,281,Yes,Yes
565,13346,4,4,2981,260,Yes,Yes
566,6858,16,4,543,145,Yes,Yes
567,11198,2,4,2187,208,Yes,Yes
568,10171,3,3,2676,178,Yes,Yes
569,12327,1,1,11708,232,Yes,Yes
570,7032,9,2,2924,148,Yes,Yes
571,13101,12,6,827,220,Yes,Yes
572,7332,14,2,2925,179,Yes,Yes
573,13159,1,3,2353,223,Yes,Yes
574,9967,4,3,1504,152,Yes,Yes
575,10500,2,3,1963,182,Yes,Yes
576,8480,16,2,3837,193,Yes,Yes
577,6292,16,3,1022,167,Yes,Yes
578,11777,12,3,3575,200,Yes,Yes
579,3604,2,2,606,137,Yes,Yes
580,12150,15,4,2403,231,Yes,Yes
581,14585,7,3,4613,188,Yes,Yes
582,12704,1,3,2320,231,Yes,Yes
583,11841,6,3,1908,170,No,No
584,13500,4,3,2741,261,Yes,Yes
585,6120,5,3,638,151,Yes,Yes
586,11443,2,2,3287,173,Yes,Yes
587,10267,4,2,3078,243,Yes,Yes
588,8740,8,2,2461,212,Yes,Yes
589,25095,3,1,16181,343,Yes,Yes
590,9100,14,2,4108,153,Yes,Yes
591,8320,3,3,2345,216,Yes,Yes
592,13478,2,3,2430,254,Yes,Yes
593,6600,3,2,2966,155,Yes,Yes
594,4435,3,1,3831,131,Yes,Yes
595,7990,10,3,1959,190,Yes,Yes
596,11302,2,3,3475,175,Yes,Yes
597,3600,5,3,435,144,Yes,Yes
598,3922,2,2,944,160,Yes,Yes
599,12984,9,3,3668,228,Yes,Yes
600,1950,9,3,210,100,Yes,Yes
601,10927,2,3,2993,199,Yes,Yes
602,9000,16,3,2426,223,Yes,Yes
603,10041,6,3,2923,208,Yes,Yes
604,3182,2,2,1312,127,Yes,Yes
605,12803,3,3,2249,223,Yes,Yes
606,13600,6,3,4031,230,Yes,Yes
607,12464,5,3,2151,209,Yes,Yes
608,7800,3,3,1503,185,Yes,Yes
609,12168,4,4,2463,178,Yes,Yes
610,7943,13,3,2210,217,Yes,Yes
611,11050,4,3,3060,176,Yes,Yes
612,10395,9,3,1742,215,Yes,Yes
613,11885,3,3,2281,192,Yes,Yes
614,8402,2,3,1226,174,No,Yes
615,1491,11,1,565,102,No,Yes
616,8800,13,3,2318,220,Yes,Yes
617,7861,3,3,1204,137,Yes,Yes
618,7227,15,2,2946,178,Yes,Yes
619,11694,2,3,3516,204,Yes,Yes
620,12244,3,4,1637,180,Yes,Yes
621,8248,16,2,3640,208,No,Yes
622,10800,4,4,1362,163,Yes,Yes
623,7064,9,3,2074,157,Yes,Yes
624,2117,4,2,368,105,Yes,Yes
625,10400,11,4,2115,198,Yes,Yes
626,10000,13,3,3035,210,Yes,Yes
627,12342,9,3,3775,256,Yes,Yes
628,9600,11,3,1443,173,Yes,Yes
629,11606,11,5,984,207,Yes,Yes
630,9020,13,3,2746,185,Yes,Yes
631,9000,6,3,1240,178,Yes,Yes
632,4590,2,2,1794,111,Yes,Yes
633,11900,9,3,2055,229,Yes,Yes
634,9250,2,3,1753,193,Yes,Yes
635,6979,9,0,0,180,Yes,Yes
636,10896,5,8,426,210,No,Yes
637,6120,16,1,5501,196,No,Yes
638,6000,15,3,1597,170,Yes,Yes
639,8777,16,2,2346,212,No,Yes
640,3982,2,1,2241,132,Yes,Yes
